ano,classe,num_px,porc_rel
1999,9,3965378,4.13781541626222
1999,41,2683712,2.800415215499737
1999,11,1928372,2.0122286929237037
1999,24,1517122,1.5830951803209106
1999,47,1397035,1.4577861076694054
1999,33,1106052,1.154149495152205
1999,4,302563,0.3157201774434988
1999,46,156968,0.1637938704102984
1999,25,117534,0.12264505354469708
1999,48,70722,0.07379739885299628
1999,12,53683,0.05601744524512033
1999,30,2784,0.0029050643138873572
1999,29,480,0.0005008731575667858
1999,31,237,0.0002473061215486005
2000,15,26520829,27.67410700524746
2000,20,21482160,22.416327730322713
2000,21,17045224,17.786448263152412
2000,3,12185494,12.715389283939837
2000,39,5566423,5.808483050754959
2000,9,4005131,4.179297105080455
2000,41,2141733,2.234867854947885
2000,11,1972993,2.058790070348261
2000,47,1590400,1.6595597287379502
2000,24,1562391,1.6303327365081832
2000,33,962521,1.004376942696542
2000,4,326900,0.3411154900178797
2000,46,198808,0.2074533139782032
2000,25,132110,0.13785490176280848
2000,48,81162,0.08469139003007388
2000,12,54824,0.05720806248008638
2000,30,2822,0.002944716772194728
2000,29,482,0.0005029601290566474
2000,31,239,0.00024939309303846207
2001,15,25818579,26.9413191408698
2001,20,21268439,22.193312913430358
2001,21,17129834,17.87473759203101
2001,3,12157895,12.686590120865493
2001,39,6195773,6.465200804327161
2001,9,4016929,4.191608149899148
2001,41,2259728,2.357993955420995
2001,11,1982279,2.0684798789756886
2001,47,1632368,1.703352738481206
2001,24,1596476,1.6658999481241494
2001,33,932639,0.9731955016665197
2001,4,334559,0.34910754733830474
2001,46,220722,0.23032026059261684
2001,25,140643,0.14675896562430302
2001,48,86659,0.09042743116995851
2001,12,55530,0.05794476341600752
2001,30,2850,0.0029739343730527906
2001,29,499,0.000520699386720471
2001,31,245,0.0002556540075080469
2002,15,24928497,26.012531262050302
2002,20,22087261,23.047741998066087
2002,21,17198652,17.946548194025656
2002,3,12146189,12.674375076735334
2002,39,6146607,6.413896784191893
2002,9,4029453,4.204676765368662
2002,41,2168835,2.2631484056069997
2002,11,1957515,2.042638997988222
2002,47,1775625,1.8528393758427582
2002,24,1626866,1.6976114799125968
2002,33,932037,0.9725673232480714
2002,4,325387,0.3395366960857994
2002,46,224953,0.2347352487794191
2002,25,142598,0.14879898025564275
2002,48,83305,0.0869275799814606
2002,12,55189,0.05758893477698612
2002,30,2964,0.003092891747974902
2002,29,498,0.0005196559009755402
2002,31,215,0.0002243494351601228
2003,15,23702237,24.732946432471454
2003,20,23001550,24.001789536313126
2003,21,17704070,18.47394467225709
2003,3,12139027,12.666901631830138
2003,39,5876035,6.1315587592144745
2003,9,4064020,4.240746937113685
2003,41,2144914,2.2381871831025095
2003,11,1932270,2.016296200357444
2003,47,1841090,1.9211511701346533
2003,24,1660461,1.732667383513547
2003,33,950299,0.9916234599219977
2003,4,308651,0.32207291865863746
2003,46,216133,0.22553170450912938
2003,25,141047,0.14718053386525506
2003,48,92672,0.09670191095422744
2003,12,54425,0.05679171166785899
2003,30,3075,0.0032087186656622213
2003,29,497,0.0005186124152306093
2003,31,173,0.00018052303387302904
2004,20,23874306,24.912497981115955
2004,15,22485693,23.463500110390356
2004,21,17928086,18.707702174893512
2004,3,12106257,12.632706603968757
2004,39,5892737,6.148987058126309
2004,9,4124396,4.303748432449627
2004,41,2063408,2.1531368339761796
2004,47,1995808,2.082597197618857
2004,11,1920093,2.0035896744414217
2004,24,1695011,1.7687198160009063
2004,33,947142,0.9883291754252512
2004,4,300441,0.3135059006927556
2004,46,226848,0.23671265426606294
2004,25,132682,0.1384517756089089
2004,48,82397,0.08598009492506342
2004,12,53309,0.055627181576516214
2004,30,3170,0.0033078498114306474
2004,29,497,0.0005186124152306093
2004,31,365,0.0003808722968997433
2005,20,24613774,25.68412229794845
2005,15,21317789,22.244808934942693
2005,21,18211215,19.003143250370023
2005,3,12094795,12.62074617036036
2005,39,6078130,6.342442010836266
2005,9,4230729,4.414705402165354
2005,47,2090757,2.181675125614292
2005,11,1913262,1.9964616233177992
2005,41,1814643,1.8935541026384684
2005,24,1723905,1.7988702931149372
2005,33,938609,0.9794251115637568
2005,4,302518,0.3156732205849768
2005,46,248030,0.25881576931518724
2005,25,121906,0.12720717322153455
2005,48,75588,0.07887500048782958
2005,12,52607,0.05489465458357478
2005,30,3282,0.003424720214862898
2005,31,610,0.0006365263044077902
2005,29,497,0.0005186124152306093
2006,20,25476106,26.583953447346115
2006,15,19843079,20.705970072035786
2006,21,18617351,19.42694037687324
2006,3,12084400,12.609899136041802
2006,39,5788546,6.040265234876223
2006,9,4368566,4.558536346789381
2006,47,2143906,2.2371353494716195
2006,41,2101250,2.1926244215358515
2006,11,1903271,1.9860361572401957
2006,24,1752128,1.8283205912941192
2006,33,932675,0.9732330671533374
2006,4,312246,0.3258242499116637
2006,46,266057,0.27762668683905484
2006,25,111302,0.1161420503822883
2006,48,76228,0.0795428313645853
2006,12,51044,0.05326368636424794
2006,30,3366,0.0035123730174370853
2006,31,646,0.0006740917912252992
2006,29,479,0.0004998296718218549
2007,20,27040650,28.216532808663136
2007,21,18661909,19.47343601469587
2007,15,18304801,19.10079890729512
2007,3,12106421,12.632877735630924
2007,39,5394232,5.628804196849579
2007,9,4526008,4.722824829442777
2007,47,2224927,2.321679608011658
2007,41,2138235,2.231217741812117
2007,11,1884475,1.9664227991784762
2007,24,1780739,1.8581757619423342
2007,33,943616,0.9846498446886253
2007,4,317453,0.3312576801855184
2007,46,277624,0.2896966864506694
2007,25,102113,0.10655345987211914
2007,48,74920,0.07817795201021581
2007,12,50047,0.05222333107655193
2007,30,3451,0.0036010693057562035
2007,31,550,0.000573917159711942
2007,29,475,0.0004956557288421317
2008,20,29976124,31.27965808227814
2008,21,18259957,19.05400483254944
2008,15,16729744,17.457249380341644
2008,3,12164812,12.69380791176318
2008,9,4728686,4.934316433253862
2008,39,3822186,3.9883966054740885
2008,41,2484373,2.5924078105909754
2008,47,2205712,2.3016290294228128
2008,11,1877109,1.9587364831813159
2008,24,1808558,1.8872044918805644
2008,33,931863,0.9723857567284534
2008,4,329435,0.3437607263812793
2008,46,282106,0.2943735895594493
2008,25,100454,0.10482231702127895
2008,48,77417,0.08078353591530803
2008,12,49469,0.05162019631598193
2008,30,3583,0.0037388094240870698
2008,31,583,0.0006083521892946586
2008,29,475,0.0004956557288421317
2009,20,30980523,32.327734121000894
2009,21,17936618,18.716605195269263
2009,15,15663383,16.344516877891486
2009,3,12178368,12.70795340452146
2009,9,4955741,5.171245089069125
2009,39,4306799,4.4940833627822405
2009,47,2208216,2.3042419177281195
2009,41,2105617,2.197181323783964
2009,11,1861879,1.9428441952860198
2009,24,1838242,1.9181793227330903
2009,33,925785,0.966043450370764
2009,4,341416,0.35626272909129525
2009,46,291743,0.30442966168334745
2009,25,99610,0.10394161505255736
2009,48,84862,0.08855228728631785
2009,12,49081,0.051215323846948775
2009,30,3725,0.0038869843998672435
2009,31,563,0.0005874824743960424
2009,29,475,0.0004956557288421317
2010,20,31335889,32.698553476233975
2010,21,17940857,18.721028531342025
2010,15,14772348,15.414734557157066
2010,3,12223292,12.754830958126734
2010,9,5181683,5.407012345250281
2010,39,4699789,4.904162825682596
2010,47,2330234,2.431565961353086
2010,24,1869517,1.9508143394058015
2010,11,1854092,1.9347185717902435
2010,41,1790706,1.8685761843620596
2010,33,927557,0.9678925071107813
2010,4,347418,0.3625257305323699
2010,46,313697,0.3273383477275583
2010,25,99473,0.10379865750550182
2010,48,92672,0.09670191095422744
2010,12,48555,0.050666450345115174
2010,30,3829,0.003995506917340047
2010,31,570,0.0005947868746105582
2010,29,468,0.000488351328627616
2011,20,31822289,33.206104942568324
2011,21,17979940,18.76181108471115
2011,15,13946414,14.552884201903387
2011,3,12236377,12.768484969099154
2011,9,5324419,5.555955326538724
2011,39,4620479,4.821403971252135
2011,47,2493311,2.601734486179167
2011,24,1902456,1.985185716358077
2011,11,1851598,1.9321161183423863
2011,41,1732920,1.8082773171054882
2011,33,916399,0.9562492931688436
2011,46,387282,0.4041232462682915
2011,4,356451,0.37195153726632985
2011,48,111252,0.11608987609504177
2011,25,98175,0.10244421300858164
2011,12,47615,0.04968557374488022
2011,30,3923,0.004093594577363542
2011,31,876,0.0009140935125593841
2011,29,470,0.0004904383001174777
2012,20,32163347,33.56199410376293
2012,21,18057206,18.842437054278978
2012,15,13010669,13.576447633513114
2012,3,12258922,12.792010355218617
2012,9,5510377,5.749999848694567
2012,39,5127090,5.350045327977274
2012,47,2603623,2.716843485673974
2012,24,1942739,2.027220452621125
2012,11,1847597,1.9279411318769182
2012,41,1320182,1.377591097714238
2012,33,906591,0.9460147849825622
2012,46,449323,0.4688621453695435
2012,4,356596,0.3721028426993449
2012,48,126206,0.131694161924737
2012,25,99394,0.1037162221316523
2012,12,47319,0.049376701964380695
2012,30,3980,0.004153073264824598
2012,31,1015,0.0010591380311047657
2012,29,470,0.0004904383001174777
2013,20,33038354,34.475051434977594
2013,21,17784247,18.55760822882841
2013,3,12263403,12.796686214841651
2013,15,12074215,12.599271233729684
2013,9,5650605,5.896325767734724
2013,39,4722266,4.927617254771406
2013,47,2801814,2.9236529689475548
2013,24,1984236,2.070521980578518
2013,11,1834813,1.9146012101137226
2013,41,1591619,1.6608317378610207
2013,33,893900,0.9327719073936455
2013,46,521840,0.5445326011346906
2013,4,353184,0.36854246933764095
2013,48,159940,0.16689511004423274
2013,25,105916,0.11052183616009101
2013,12,46717,0.04874852354593236
2013,30,4063,0.004239682581653855
2013,31,1045,0.0010904426034526898
2013,29,469,0.0004893948143725469
2014,20,33417724,34.87091862203199
2014,21,16929198,17.66537678611107
2014,3,12273152,12.806859157368983
2014,15,11594789,12.098997036980489
2014,39,5765370,6.016081409251708
2014,9,5731036,5.9802543696852535
2014,47,2829362,2.952398914248908
2014,24,2020075,2.107919466191093
2014,11,1821959,1.901188244348382
2014,41,1310686,1.3676821570803754
2014,33,876635,0.914756126007415
2014,46,568757,0.5934898218296091
2014,4,350578,0.3658231454863513
2014,48,180852,0.1887164839422257
2014,25,110664,0.11547630647702246
2014,12,46250,0.04826121570304967
2014,30,4100,0.004278291554216294
2014,31,991,0.0010340943732264265
2014,29,468,0.000488351328627616
2015,20,34031210,35.51108251774661
2015,21,16397026,17.110062890259755
2015,3,12315519,12.851068517924466
2015,15,11327921,11.820524083202294
2015,9,5804216,6.05661665649929
2015,39,5584128,5.826957965868958
2015,47,2922575,3.0496653509911433
2015,24,2058147,2.147647055472099
2015,11,1804977,1.8834677694279673
2015,41,1311394,1.3684209449877864
2015,33,875821,0.9139067286110414
2015,46,621774,0.6488123055686055
2015,4,349522,0.36472122453970435
2015,48,265789,0.2773470326594134
2015,25,111727,0.11658553182388391
2015,12,45249,0.04721668647237393
2015,30,4298,0.0044849017317125945
2015,31,885,0.0009234848842637612
2015,29,468,0.000488351328627616
2016,20,33722703,35.18915986103524
2016,21,15965987,16.660279838250528
2016,3,12355347,12.89262846817357
2016,15,11080951,11.562814408776735
2016,39,6444362,6.724599882173764
2016,9,5866789,6.121910690016845
2016,47,2998153,3.128529916621524
2016,24,2101263,2.1926379868505355
